species_code,species_name,sci_name,length,fisher_num,fisher_name,photo_num,photo_ID_Kat,notes
FLAG,Flag rockfish,Sebastes rubrivinctus,15.5,16,,287,FLAG,Check this one. Originally identified as flag but might just be a blotchy vermillion
VERM,Vermilion rockfish,Sebastes miniatus,13.5,16,,288,VERM,
BOCO,Bocaccio,Sebastes paucispinus,14.5,16,,289,BOCO,
STAR,Starry rockfish,Sebastes constellatus,12,16,,290,STAR,
CHIL,Chilipepper rockfish,Sebastes goodei,10,16,,291,CHIL,
COPP,Copper rockfish,Sebastes caurinus,10,16,,292,COPP,
COPP,Copper rockfish,Sebastes caurinus,12,16,,293,COPP,
CHIL,Chilipepper rockfish,Sebastes goodei,10,16,,294,CHIL,
VERM,Vermilion rockfish,Sebastes miniatus,11,16,,295,VERM,
CHIL,Chilipepper rockfish,Sebastes goodei,10.5,16,,296,CHIL,
BLUE,Blue rockfish,Sebastes mystinus,10,16,,297,BLUE,
VERM,Vermilion rockfish,Sebastes miniatus,15,17,,298,VERM,
WIDO,Widow rockfish,Sebastes entomelas,12.5,17,,299,WIDO,
VERM,Vermilion rockfish,Sebastes miniatus,16,17,,300,VERM,
COPP,Copper rockfish,Sebastes caurinus,14.5,17,,301,COPP,
VERM,Vermilion rockfish,Sebastes miniatus,11.5,17,,302,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,13,17,,303,VERM,
BLUE,Blue rockfish,Sebastes mystinus,9.5,17,,304,BLUE,
BOCO,Bocaccio,Sebastes paucispinus,10,17,,305,BOCO,Originally identified as a chilipepper. Photo suggests Bocaccio.
VERM,Vermilion rockfish,Sebastes miniatus,9,17,,306,VERM,Check this one. Photo is unclear. Might be a vermillion or bosco?
BLUE,Blue rockfish,Sebastes mystinus,9,17,,307,BLUE,
WIDO,Widow rockfish,Sebastes entomelas,12.5,18,,308,WIDO,
VERM,Vermilion rockfish,Sebastes miniatus,18,18,,309,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,14,18,,310,VERM,
BOCO,Bocaccio,Sebastes paucispinus,19,18,,311,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,12,18,,312,BOCO,Originally identified as a chilipepper. Photo suggests Bocaccio.
VERM,Vermilion rockfish,Sebastes miniatus,10.5,18,,313,VERM,
BOCO,Bocaccio,Sebastes paucispinus,18.5,18,,314,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,12,18,,315,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,10.5,18,,316,VERM,
BOCO,Bocaccio,Sebastes paucispinus,13.5,18,,317,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,19.5,19,,318,BOCO,
BOCO,Bocaccio,Sebastes paucispinus,12,19,,319,BOCO,Originally identified as a chilipepper. Photo suggests Bocaccio.
VERM,Vermilion rockfish,Sebastes miniatus,12.5,19,,320,VERM,
VERM,Vermilion rockfish,Sebastes miniatus,13,19,,321,VERM,
BOCO,Bocaccio,Sebastes paucispinus,14.5,19,,322,BOCO,
VERM,Vermilion rockfish,Sebastes miniatus,12,19,,323,VERM,
